codigo,cantidad
621111,2793
621112,128
621113,3160
621114,14
621115,274
621116,269
621211,7287
621212,47
621311,412
621320,637
621331,719
621332,20
621341,498
621342,19
621391,330
621398,1379
621399,11
621411,30
621412,1
621421,41
621422,18
621491,48
621492,3
621511,791
621512,6
621610,8
621910,17
621991,3
621992,3
622111,139
622112,118
622211,9
622212,5
622311,80
622312,22
623111,12
623112,4
623211,17
623212,1
623221,50
623222,11
623311,88
623312,21
623991,106
623992,18
624111,82
624112,453
624121,22
624122,101
624191,1264
624198,29
624199,138
624211,108
624212,346
624221,11
624222,13
624231,2
624232,2
624311,10
624312,12
624411,324
624412,257
